Name	Index	Desc	Assay	CellLine or Tissue	Group	Lifestage	Type
CAGE_leiomyoma_cell_line_15242A	4919	Leiomyoma Cell Line 15242A CAGE Track	CAGE	15242A Leiomyoma Cell Line	Other	Unknown	Cell Line
CAGE_leiomyoma_cell_line_15425	4920	Leiomyoma Cell Line 15425 CAGE Track	CAGE	15425 Leiomyoma Cell Line	Other	Unknown	Cell Line
CAGE_Clontech_Human_Universal_Reference_Total_RNA__pool1	4675	Clontech Human Universal Reference Total RNA Pool 1 CAGE Track	CAGE	Clontech Human Universal Reference Total RNA Pool 1	Other	Unknown	Cell Line
CAGE_breast_carcinoma_cell_line_MCF7	5064	Breast Carcinoma Cell Line MCF7 CAGE Track	CAGE	MCF7	Other	Unknown	Cell Line
CAGE_SABiosciences_XpressRef_Human_Universal_Total_RNA__pool1	4676	SABiosciences XpressRef Human Universal Total RNA (Pool 1)	CAGE	SABiosciences XpressRef Human Universal Total RNA (Pool 1)	Other	Unknown	Cell Line
CAGE_Universal_RNA___Human_Normal_Tissues_Biochain__pool1	4677	Universal RNA - Human Normal Tissues (Biochain Pool 1)	CAGE	Universal RNA - Human Normal Tissues (Biochain Pool 1)	Other	Unknown	Cell Line
CAGE_breast__adult_	4976	Breast Adult CAGE Track	CAGE	Breast	Other	Adult	Tissue
CAGE_embryonic_pancreas_cell_line_1B2C6	4925	Embryonic Pancreas Cell Line 1B2C6 CAGE Track	CAGE	1B2C6	Pancreas	Developing	Cell Line
CAGE_embryonic_pancreas_cell_line_1C3D3	4926	Embryonic Pancreas Cell Line 1C3D3 CAGE Track	CAGE	1C3D3	Pancreas	Developing	Cell Line
CAGE_embryonic_pancreas_cell_line_1C3IKEI	4927	Embryonic Pancreas Cell Line 1C3IKEI CAGE Track	CAGE	1C3IKEI	Pancreas	Developing	Cell Line
CAGE_embryonic_pancreas_cell_line_2C6	4987	Embryonic Pancreas Cell Line 2C6 CAGE Track	CAGE	2C6	Pancreas	Developing	Cell Line
CAGE_Amniotic_Epithelial_Cells_	4891	Amniotic Epithelial Cells CAGE Track	CAGE	Amniotic Epithelial Cells	Placenta & EEM	Developing	Tissue
CAGE_amniotic_membrane_cells_	5128	Amniotic Membrane Cells CAGE Track	CAGE	Amniotic Membrane Cells	Placenta & EEM	Developing	Tissue
CAGE_chorionic_membrane_cells_	5129	Chorionic Membrane Cells CAGE Track	CAGE	Chorionic Membrane Cells	Placenta & EEM	Developing	Tissue
CAGE_placenta__adult__pool1	4689	Placenta (Adult Pool 1)	CAGE	Placenta (Adult Pool 1)	Placenta & EEM	Adult	Tissue
CAGE_Placental_Epithelial_Cells_	4809	Placental Epithelial Cells	CAGE	Placental Epithelial Cells	Placenta & EEM	Developing	Tissue
CAGE_umbilical_cord__fetal_	4954	Umbilical Cord (Fetal)	CAGE	Umbilical Cord (Fetal)	Placenta & EEM	Developing	Tissue
CAGE_optic_nerve_	5230	Optic Nerve	CAGE	Optic Nerve	PNS	Adult	Tissue
CAGE_spinal_cord___adult_	5271	Spinal Cord (Adult)	CAGE	Spinal Cord (Adult)	PNS	Adult	Tissue
CAGE_spinal_cord__adult_	5091	Spinal Cord (Adult)	CAGE	Spinal Cord (Adult)	PNS	Adult	Tissue
CAGE_spinal_cord__fetal_	4953	Spinal Cord (Fetal)	CAGE	Spinal Cord (Fetal)	PNS	Developing	Tissue
CAGE_spinal_cord__newborn_	5286	Spinal Cord (Newborn)	CAGE	Spinal Cord (Newborn)	PNS	Newborn	Tissue
CAGE_Schwann_Cells_	5078	Schwann Cells	CAGE	Schwann Cells	PNS	Adult	Tissue
CAGE_prostate_cancer_cell_line_DU145	4838	Prostate Cancer Cell Line DU145	CAGE	Prostate Cancer Cell Line DU145	Reproductive	Unknown	Cell Line
CAGE_prostate_cancer_cell_line_PC_3	4824	Prostate Cancer Cell Line PC-3	CAGE	Prostate Cancer Cell Line PC-3	Reproductive	Unknown	Cell Line
CAGE_cervix__adult__pool1	4681	Cervix Adult Pool 1 CAGE Track	CAGE	Cervix Pool 1	Reproductive	Adult	Tissue
CAGE_ductus_deferens__adult	5167	Ductus Deferens Adult CAGE Track	CAGE	Ductus Deferens	Reproductive	Adult	Tissue
CAGE_epididymis__adult	5168	Epididymis Adult CAGE Track	CAGE	Epididymis	Reproductive	Adult	Tissue
CAGE_penis__adult	5171	Penis (Adult)	CAGE	Penis (Adult)	Reproductive	Adult	Tissue
CAGE_prostate__adult__pool1	4690	Prostate (Adult Pool 1)	CAGE	Prostate (Adult Pool 1)	Reproductive	Adult	Tissue
CAGE_Prostate_Epithelial_Cells_	5071	Prostate Epithelial Cells	CAGE	Prostate Epithelial Cells	Reproductive	Adult	Tissue
CAGE_Prostate_Epithelial_Cells__polarized__	4785	Prostate Epithelial Cells (Polarized)	CAGE	Prostate Epithelial Cells (Polarized)	Reproductive	Adult	Tissue
CAGE_Prostate_Stromal_Cells_	4786	Prostate Stromal Cells	CAGE	Prostate Stromal Cells	Reproductive	Adult	Tissue
CAGE_seminal_vesicle__adult	5172	Seminal Vesicle (Adult)	CAGE	Seminal Vesicle (Adult)	Reproductive	Adult	Tissue
CAGE_Sertoli_Cells_	4757	Sertoli Cells	CAGE	Sertoli Cells	Reproductive	Adult	Tissue
CAGE_testis__adult__pool1	4694	Testis (Adult Pool 1)	CAGE	Testis (Adult Pool 1)	Reproductive	Adult	Tissue
CAGE_testis__adult__pool2	5181	Testis (Adult Pool 2)	CAGE	Testis (Adult Pool 2)	Reproductive	Adult	Tissue
CAGE_uterus__adult__pool1	4910	Uterus (Adult Pool 1)	CAGE	Uterus (Adult Pool 1)	Reproductive	Adult	Tissue
CAGE_uterus__fetal_	4952	Uterus (Fetal)	CAGE	Uterus (Fetal)	Reproductive	Developing	Tissue
CAGE_vagina__adult	5175	Vagina (Adult)	CAGE	Vagina (Adult)	Reproductive	Adult	Tissue
CAGE_diaphragm__fetal_	4965	Diaphragm Fetal CAGE Track	CAGE	Fetal Diaphragm	Smooth Muscle	Developing	Tissue
CAGE_smooth_muscle__adult__pool1	4945	Smooth Muscle (Adult Pool 1)	CAGE	Smooth Muscle (Adult Pool 1)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_muscle_cells___airway__asthmatic_	5301	Smooth Muscle Cells (Airway, Asthmatic)	CAGE	Smooth Muscle Cells (Airway, Asthmatic)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_muscle_cells___airway__control_	5302	Smooth Muscle Cells (Airway, Control)	CAGE	Smooth Muscle Cells (Airway, Control)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_Muscle_Cells___Aortic_	4747	Smooth Muscle Cells (Aortic)	CAGE	Smooth Muscle Cells (Aortic)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_Muscle_Cells___Bladder_	5180	Smooth Muscle Cells (Bladder)	CAGE	Smooth Muscle Cells (Bladder)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_Muscle_Cells___Brachiocephalic_	4814	Smooth Muscle Cells (Brachiocephalic)	CAGE	Smooth Muscle Cells (Brachiocephalic)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_Muscle_Cells___Brain_Vascular_	4768	Smooth Muscle Cells (Brain Vascular)	CAGE	Smooth Muscle Cells (Brain Vascular)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_Muscle_Cells___Bronchial_	4879	Smooth Muscle Cells (Bronchial)	CAGE	Smooth Muscle Cells (Bronchial)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_Muscle_Cells___Carotid_	4815	Smooth Muscle Cells (Carotid)	CAGE	Smooth Muscle Cells (Carotid)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_Muscle_Cells___Colonic_	4773	Smooth Muscle Cells (Colonic)	CAGE	Smooth Muscle Cells (Colonic)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_Muscle_Cells___Coronary_Artery_	4816	Smooth Muscle Cells (Coronary Artery)	CAGE	Smooth Muscle Cells (Coronary Artery)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_Muscle_Cells___Esophageal_	4876	Smooth Muscle Cells (Esophageal)	CAGE	Smooth Muscle Cells (Esophageal)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_Muscle_Cells___Internal_Thoracic_Artery_	4801	Smooth Muscle Cells (Internal Thoracic Artery)	CAGE	Smooth Muscle Cells (Internal Thoracic Artery)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_Muscle_Cells___Intestinal_	5149	Smooth Muscle Cells (Intestinal)	CAGE	Smooth Muscle Cells (Intestinal)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_Muscle_Cells___Prostate_	5055	Smooth Muscle Cells (Prostate)	CAGE	Smooth Muscle Cells (Prostate)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_Muscle_Cells___Pulmonary_Artery_	4817	Smooth Muscle Cells (Pulmonary Artery)	CAGE	Smooth Muscle Cells (Pulmonary Artery)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_Muscle_Cells___Subclavian_Artery_	4818	Smooth Muscle Cells (Subclavian Artery)	CAGE	Smooth Muscle Cells (Subclavian Artery)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_Muscle_Cells___Tracheal_	4880	Smooth Muscle Cells (Tracheal)	CAGE	Smooth Muscle Cells (Tracheal)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_Muscle_Cells___Umbilical_artery_	4748	Smooth Muscle Cells (Umbilical Artery)	CAGE	Smooth Muscle Cells (Umbilical Artery)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_Muscle_Cells___Umbilical_Artery_	4819	Smooth Muscle Cells (Umbilical Artery)	CAGE	Smooth Muscle Cells (Umbilical Artery)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_Muscle_Cells___Umbilical_Vein_	5145	Smooth Muscle Cells (Umbilical Vein)	CAGE	Smooth Muscle Cells (Umbilical Vein)	Smooth Muscle	Adult	Tissue
CAGE_Smooth_Muscle_Cells___Uterine_	5056	Smooth Muscle Cells (Uterine)	CAGE	Smooth Muscle Cells (Uterine)	Smooth Muscle	Adult	Tissue
CAGE_spleen__adult__pool1	4693	Spleen (Adult Pool 1)	CAGE	Spleen (Adult Pool 1)	Spleen	Adult	Tissue
CAGE_spleen__fetal__pool1	4712	Spleen (Fetal Pool 1)	CAGE	Spleen (Fetal Pool 1)	Spleen	Developing	Tissue
CAGE_bone_marrow_stromal_cell_line_StromaNKtert	5059	Bone Marrow Stromal Cell Line StromaNKtert CAGE Track	CAGE	StromaNKtert	Stromal	Unknown	Cell Line
CAGE_Fibroblast___skin_normal_	4899	Fibroblast Skin Normal CAGE Track	CAGE	Normal Skin Fibroblast	Stromal	Adult	Tissue
CAGE_achilles_tendon_	5221	Achilles Tendon	CAGE	Achilles Tendon	Stromal	Adult	Tissue
CAGE_Anulus_Pulposus_Cell_	4780	Anulus Pulposus Cell CAGE Track	CAGE	Anulus Pulposus Cell	Stromal	Adult	Tissue
CAGE_Fibroblast___Aortic_Adventitial_	4778	Fibroblast Aortic Adventitial CAGE Track	CAGE	Aortic Adventitial Fibroblast	Stromal	Adult	Tissue
CAGE_Fibroblast___Cardiac_	4907	Fibroblast Cardiac CAGE Track	CAGE	Cardiac Fibroblast	Stromal	Adult	Tissue
CAGE_Fibroblast___Choroid_Plexus_	4871	Fibroblast Choroid Plexus CAGE Track	CAGE	Choroid Plexus Fibroblast	Stromal	Adult	Tissue
CAGE_Fibroblast___Conjunctival_	4889	Fibroblast Conjunctival CAGE Track	CAGE	Conjunctival Fibroblast	Stromal	Adult	Tissue
CAGE_cruciate_ligament_	5223	Cruciate Ligament CAGE Track	CAGE	Cruciate Ligament	Stromal	Adult	Tissue
CAGE_Chondrocyte___de_diff_	4903	Chondrocyte De Differentiated CAGE Track	CAGE	De Differentiated Chondrocyte	Stromal	Adult	Tissue
CAGE_Fibroblast___Dermal_	4908	Fibroblast Dermal CAGE Track	CAGE	Dermal Fibroblast	Stromal	Adult	Tissue
CAGE_dura_mater__adult_	4709	Dura Mater Adult CAGE Track	CAGE	Dura Mater	Stromal	Adult	Tissue
CAGE_Fibroblast___Gingival____aggressive_periodontitis_	5294	Fibroblast Gingival (Aggressive Periodontitis) CAGE Track	CAGE	Gingival (Aggressive Periodontitis) Fibroblast	Stromal	Adult	Tissue
CAGE_Fibroblast___Gingival____chronic_periodontitis_	5296	Fibroblast Gingival (Chronic Periodontitis) CAGE Track	CAGE	Gingival (Chronic Periodontitis) Fibroblast	Stromal	Adult	Tissue
CAGE_Fibroblast___Gingival____control_	5295	Fibroblast Gingival (Control) CAGE Track	CAGE	Gingival (Control) Fibroblast	Stromal	Adult	Tissue
CAGE_Fibroblast___Gingival____GFH2_	4755	Fibroblast Gingival (GFH2) CAGE Track	CAGE	Gingival (GFH2) Fibroblast	Stromal	Adult	Tissue
CAGE_Fibroblast___Gingival____GFH3_	5069	Fibroblast Gingival (GFH3) CAGE Track	CAGE	Gingival (GFH3) Fibroblast	Stromal	Adult	Tissue
CAGE_Fibroblast___Gingival____periodontitis_	5297	Fibroblast Gingival (Periodontitis) CAGE Track	CAGE	Gingival (Periodontitis) Fibroblast	Stromal	Adult	Tissue
CAGE_Fibroblast___Gingival_	4771	Fibroblast Gingival CAGE Track	CAGE	Gingival Fibroblast	Stromal	Adult	Tissue
CAGE_Hepatic_Stellate_Cells__lipocyte__	4886	Hepatic Stellate Cells (lipocyte) CAGE Track	CAGE	Hepatic Stellate Cells	Stromal	Adult	Tissue
CAGE_Fibroblast___Lung_	4909	Fibroblast Lung CAGE Track	CAGE	Lung Fibroblast	Stromal	Adult	Tissue
CAGE_Fibroblast___Lymphatic_	4874	Fibroblast Lymphatic CAGE Track	CAGE	Lymphatic Fibroblast	Stromal	Adult	Tissue
CAGE_Fibroblast___Mammary_	4896	Fibroblast Mammary CAGE Track	CAGE	Mammary Fibroblast	Stromal	Adult	Tissue
CAGE_Nucleus_Pulposus_Cell_	4784	Nucleus Pulposus Cell	CAGE	Nucleus Pulposus Cell	Stromal	Adult	Tissue
CAGE_Pancreatic_stromal_cells_	4781	Pancreatic Stromal Cells	CAGE	Pancreatic Stromal Cells	Stromal	Adult	Tissue
CAGE_Pericytes_	4870	Pericytes	CAGE	Pericytes	Stromal	Adult	Tissue
CAGE_Perineurial_Cells_	5148	Perineurial Cells	CAGE	Perineurial Cells	Stromal	Adult	Tissue
CAGE_Fibroblast___Periodontal_Ligament____PL29_	5131	Fibroblast Periodontal Ligament (PL29) CAGE Track	CAGE	Periodontal Ligament (PL29) Fibroblast	Stromal	Adult	Tissue
CAGE_Fibroblast___Periodontal_Ligament____PL30_	5070	Fibroblast Periodontal Ligament (PL30) CAGE Track	CAGE	Periodontal Ligament (PL30) Fibroblast	Stromal	Adult	Tissue
CAGE_Fibroblast___Periodontal_Ligament____PLH3_	5074	Fibroblast Periodontal Ligament (PLH3) CAGE Track	CAGE	Periodontal Ligament (PLH3) Fibroblast	Stromal	Adult	Tissue
CAGE_Fibroblast___Periodontal_Ligament_	4772	Fibroblast Periodontal Ligament CAGE Track	CAGE	Periodontal Ligament Fibroblast	Stromal	Adult	Tissue
CAGE_Fibroblast___Pulmonary_Artery_	4782	Fibroblast Pulmonary Artery CAGE Track	CAGE	Pulmonary Artery Fibroblast	Stromal	Adult	Tissue
CAGE_Chondrocyte___re_diff_	4904	Chondrocyte Re Differentiated CAGE Track	CAGE	Re Differentiated Chondrocyte	Stromal	Adult	Tissue
CAGE_Fibroblast___skin_dystrophia_myotonica_	4901	Fibroblast Skin (Dystrophia Myotonica) CAGE Track	CAGE	Skin (Dystrophia Myotonica) Fibroblast	Stromal	Adult	Tissue
CAGE_Fibroblast___skin_spinal_muscular_atrophy_	4804	Fibroblast Skin (Spinal Muscular Atrophy) CAGE Track	CAGE	Skin (Spinal Muscular Atrophy) Fibroblast	Stromal	Adult	Tissue
CAGE_Fibroblast___skin_walker_warburg_	4900	Fibroblast Skin (Walker-Warburg) CAGE Track	CAGE	Skin (Walker-Warburg) Fibroblast	Stromal	Adult	Tissue
CAGE_tenocyte_	5153	Tenocyte	CAGE	Tenocyte	Stromal	Adult	Tissue
CAGE_Fibroblast___Villous_Mesenchymal_	4892	Fibroblast Villous Mesenchymal CAGE Track	CAGE	Villous Mesenchymal Fibroblast	Stromal	Adult	Tissue
CAGE_Synoviocyte_	4802	Synoviocyte	CAGE	Synoviocyte	Stromal	Adult	Tissue
CAGE_thymus__adult__pool1	4695	Thymus (Adult Pool 1)	CAGE	Thymus (Adult Pool 1)	Thymus	Adult	Tissue
CAGE_thymus__fetal__pool1	4711	Thymus (Fetal Pool 1)	CAGE	Thymus (Fetal Pool 1)	Thymus	Developing	Tissue
CAGE_bladder__adult__pool1	4679	Bladder Adult Pool 1 CAGE Track	CAGE	Bladder Pool 1	Urinary	Adult	Tissue
CAGE_Urethra_	5234	Urethra	CAGE	Urethra	Urinary	Adult	Tissue
CAGE_Urothelial_cells_	4750	Urothelial Cells	CAGE	Urothelial Cells	Urinary	Adult	Tissue
CAGE_Urothelial_Cells_	4885	Urothelial Cells	CAGE	Urothelial Cells	Urinary	Adult	Tissue
CHIP_AFF1_K562	2207	K562 AFF1 Chip-Seq	CHIP_AFF1	K562	HSC & B Cell	Unknown	Cell Line
CHIP_AFF1_K562	2748	K562 AFF1 Chip-Seq	CHIP_AFF1	K562	HSC & B Cell	Unknown	Cell Line
CHIP_AGO1_K562	3430	K562 AGO1 Chip-Seq	CHIP_AGO1	K562	HSC & B Cell	Unknown	Cell Line
CHIP_AGO1_HepG2	3161	HepG2 AGO1 Chip-Seq	CHIP_AGO1	HepG2	Liver	Unknown	Cell Line
CHIP_AGO2_HepG2	1923	HepG2 AGO2 Chip-Seq	CHIP_AGO2	HepG2	Liver	Unknown	Cell Line
CHIP_AHR_HepG2_genetically_modified_using_CRISPR	2704	HepG2 AHR Chip-Seq	CHIP_AHR	HepG2	Liver	Unknown	Cell Line
CHIP_ARHGAP35_K562	3216	K562 ARHGAP35 Chip-Seq	CHIP_ARHGAP35	K562	HSC & B Cell	Unknown	Cell Line
CHIP_ARID1B_K562	3991	K562 ARID1B Chip-Seq	CHIP_ARID1B	K562	HSC & B Cell	Unknown	Cell Line
CHIP_ARID2_K562	2964	K562 ARID2 Chip-Seq	CHIP_ARID2	K562	HSC & B Cell	Unknown	Cell Line
CHIP_ARID3A_K562	1334	K562 ARID3A Chip-Seq	CHIP_ARID3A	K562	HSC & B Cell	Unknown	Cell Line
CHIP_ARID3A_HepG2	1300	HepG2 ARID3A Chip-Seq	CHIP_ARID3A	HepG2	Liver	Unknown	Cell Line
CHIP_ARID3A_GM12878	3858	GM12878 ARID3A Chip-Seq	CHIP_ARID3A	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_ARID3A_MCF_7	2176	MCF-7 ARID3A Chip-Seq	CHIP_ARID3A	MCF-7	Other	Unknown	Cell Line
CHIP_3xFLAG_ARID4B_HepG2_genetically_modified_using_CRISPR	4481	HepG2 ARID4B Chip-Seq	CHIP_ARID4B	HepG2	Liver	Unknown	Cell Line
CHIP_ARNT_K562	1933	K562 ARNT Chip-Seq	CHIP_ARNT	K562	HSC & B Cell	Unknown	Cell Line
CHIP_ARNT_K562	3341	K562 ARNT Chip-Seq	CHIP_ARNT	K562	HSC & B Cell	Unknown	Cell Line
CHIP_ARNT_K562	3511	K562 ARNT Chip-Seq	CHIP_ARNT	K562	HSC & B Cell	Unknown	Cell Line
CHIP_ARNT_HEK293T	3794	HEK293T ARNT Chip-Seq	CHIP_ARNT	HEK293T	Kidney	Unknown	Cell Line
CHIP_ARNT_HepG2	1537	HepG2 ARNT Chip-Seq	CHIP_ARNT	HepG2	Liver	Unknown	Cell Line
CHIP_ARNT_GM12878	3273	GM12878 ARNT Chip-Seq	CHIP_ARNT	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_ASH1L_K562	1810	K562 ASH1L Chip-Seq	CHIP_ASH1L	K562	HSC & B Cell	Unknown	Cell Line
CHIP_ASH2L_H1_hESC	4072	H1 hESC ASH2L Chip-Seq	CHIP_ASH2L	H1	ESC	Unknown	Cell Line
CHIP_ASH2L_HepG2	3027	HepG2 ASH2L Chip-Seq	CHIP_ASH2L	HepG2	Liver	Unknown	Cell Line
CHIP_ASH2L_GM12878	4070	GM12878 ASH2L Chip-Seq	CHIP_ASH2L	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_3xFLAG_ATF1_K562_genetically_modified_using_CRISPR	1950	K562 ATF1 Chip-Seq	CHIP_ATF1	K562	HSC & B Cell	Unknown	Cell Line
CHIP_3xFLAG_ATF1_HepG2_genetically_modified_using_CRISPR	2241	HepG2 ATF1 Chip-Seq	CHIP_ATF1	HepG2	Liver	Unknown	Cell Line
CHIP_ATF2_K562	4132	K562 ATF2 Chip-Seq	CHIP_ATF2	K562	HSC & B Cell	Unknown	Cell Line
CHIP_ATF2_HepG2	1596	HepG2 ATF2 Chip-Seq	CHIP_ATF2	HepG2	Liver	Unknown	Cell Line
CHIP_ATF2_GM12878	1029	GM12878 ATF2 Chip-Seq	CHIP_ATF2	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_ATF2_GM12878	4405	GM12878 ATF2 Chip-Seq	CHIP_ATF2	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_ATF3_A549_treated_with_0_02%_ethanol_for_1_hour	1015	A549 ATF3 Chip-Seq	CHIP_ATF3	A549	Cancer	Unknown	Cell Line
CHIP_ATF3_H1_hESC	943	H1 hESC ATF3 Chip-Seq	CHIP_ATF3	H1	ESC	Unknown	Cell Line
CHIP_ATF3_K562	999	K562 ATF3 Chip-Seq	CHIP_ATF3	K562	HSC & B Cell	Unknown	Cell Line
CHIP_ATF3_K562	1535	K562 ATF3 Chip-Seq	CHIP_ATF3	K562	HSC & B Cell	Unknown	Cell Line
CHIP_ATF3_HepG2	945	HepG2 ATF3 Chip-Seq	CHIP_ATF3	HepG2	Liver	Unknown	Cell Line
CHIP_ATF3_liver_male_adult__32_years_	2922	Liver Adult ATF3 Chip-Seq	CHIP_ATF3	Tissue	Liver	Adult	Tissue
CHIP_ATF3_liver_female_child__4_years_	2095	Liver Child ATF3 Chip-Seq	CHIP_ATF3	Tissue	Liver	Child	Tissue
CHIP_ATF4_anti_ATF4__sc_200____HAP1__2_mM_histidinol_for_24_hours__ATF4_ChIP___HAP1	4658	HAP1 ATF4 Chip-Seq	CHIP_ATF4	HAP1	HSC & B Cell	Unknown	Cell Line
CHIP_ATF4_K562	1903	K562 ATF4 Chip-Seq	CHIP_ATF4	K562	HSC & B Cell	Unknown	Cell Line
CHIP_3xFLAG_ATF4_HepG2_genetically_modified_using_CRISPR	3510	HepG2 ATF4 Chip-Seq	CHIP_ATF4	HepG2	Liver	Unknown	Cell Line
CHIP_ATF4_ChIP_seq__ATF4_HighDensity_noDMI___hMSC___Human_Mesenchymal_Stem_Cells	4644	hMSC ATF4 Chip-Seq	CHIP_ATF4	hMSC	Mesench	Unknown	Tissue
CHIP_ATF4_ChIP_seq__InVitroCistromics_ATF4_0_2uL_plusCEBPb_0_1uL___hMSC___Human_Mesenchymal_Stem_Cells	4655	hMSC ATF4 Chip-Seq	CHIP_ATF4	hMSC	Mesench	Unknown	Tissue
CHIP_ATF4_ChIP_seq__InVitroCistromics_ATF4_5uL___hMSC___Human_Mesenchymal_Stem_Cells	4650	hMSC ATF4 Chip-Seq	CHIP_ATF4	hMSC	Mesench	Unknown	Tissue
CHIP_ATF7_K562	4434	K562 ATF7 Chip-Seq	CHIP_ATF7	K562	HSC & B Cell	Unknown	Cell Line
CHIP_ATF7_HepG2	3123	HepG2 ATF7 Chip-Seq	CHIP_ATF7	HepG2	Liver	Unknown	Cell Line
CHIP_ATF7_GM12878	1493	GM12878 ATF7 Chip-Seq	CHIP_ATF7	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_ATF7_MCF_7	4124	MCF-7 ATF7 Chip-Seq	CHIP_ATF7	MCF-7	Other	Unknown	Cell Line
CHIP_ATM_HepG2	4104	HepG2 ATM Chip-Seq	CHIP_ATM	HepG2	Liver	Unknown	Cell Line
CHIP_BACH1_H1_hESC	1280	H1 hESC BACH1 Chip-Seq	CHIP_BACH1	H1	ESC	Unknown	Cell Line
CHIP_BACH1_K562	1339	K562 BACH1 Chip-Seq	CHIP_BACH1	K562	HSC & B Cell	Unknown	Cell Line
CHIP_BACH1_GM12878	3414	GM12878 BACH1 Chip-Seq	CHIP_BACH1	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_BATF_GM12878	878	GM12878 BATF Chip-Seq	CHIP_BATF	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_BCL11A_H1_hESC	912	H1 hESC BCL11A Chip-Seq	CHIP_BCL11A	H1	ESC	Unknown	Cell Line
CHIP_BCL11A_H1_hESC	975	H1 hESC BCL11A Chip-Seq	CHIP_BCL11A	H1	ESC	Unknown	Cell Line
CHIP_BCL11A_GM12878	882	GM12878 BCL11A Chip-Seq	CHIP_BCL11A	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_BCL3_A549_treated_with_0_02%_ethanol_for_1_hour	1027	A549 BCL3 Chip-Seq	CHIP_BCL3	A549	Cancer	Unknown	Cell Line
CHIP_BCL3_GM12878	995	GM12878 BCL3 Chip-Seq	CHIP_BCL3	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_3xFLAG_BCL6_HepG2_genetically_modified_using_CRISPR	3790	HepG2 BCL6 Chip-Seq	CHIP_BCL6	HepG2	Liver	Unknown	Cell Line
CHIP_BCLAF1_K562	946	K562 BCLAF1 Chip-Seq	CHIP_BCLAF1	K562	HSC & B Cell	Unknown	Cell Line
CHIP_BCLAF1_K562	2969	K562 BCLAF1 Chip-Seq	CHIP_BCLAF1	K562	HSC & B Cell	Unknown	Cell Line
CHIP_BCLAF1_K562	3906	K562 BCLAF1 Chip-Seq	CHIP_BCLAF1	K562	HSC & B Cell	Unknown	Cell Line
CHIP_BCLAF1_HepG2	1495	HepG2 BCLAF1 Chip-Seq	CHIP_BCLAF1	HepG2	Liver	Unknown	Cell Line
CHIP_BCLAF1_GM12878	940	GM12878 BCLAF1 Chip-Seq	CHIP_BCLAF1	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_BCLAF1_GM12878	2495	GM12878 BCLAF1 Chip-Seq	CHIP_BCLAF1	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_BCOR_K562	3955	K562 BCOR Chip-Seq	CHIP_BCOR	K562	HSC & B Cell	Unknown	Cell Line
CHIP_BHLHE40_K562	1354	K562 BHLHE40 Chip-Seq	CHIP_BHLHE40	K562	HSC & B Cell	Unknown	Cell Line
CHIP_BHLHE40_HEK293T	3892	HEK293T BHLHE40 Chip-Seq	CHIP_BHLHE40	HEK293T	Kidney	Unknown	Cell Line
CHIP_BHLHE40_HepG2	903	HepG2 BHLHE40 Chip-Seq	CHIP_BHLHE40	HepG2	Liver	Unknown	Cell Line
CHIP_BHLHE40_HepG2	1303	HepG2 BHLHE40 Chip-Seq	CHIP_BHLHE40	HepG2	Liver	Unknown	Cell Line
CHIP_BHLHE40_GM12878	1262	GM12878 BHLHE40 Chip-Seq	CHIP_BHLHE40	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_BHLHE40_GM12878	4475	GM12878 BHLHE40 Chip-Seq	CHIP_BHLHE40	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_BHLHE40_IMR_90	4388	IMR-90 BHLHE40 Chip-Seq	CHIP_BHLHE40	IMR-90	Stromal	Unknown	Cell Line
